ID,violent,years,arrest
2248,0,1,0
2248,0,2,0
2274,0,0,5
2274,0,1,0
2274,0,2,0
2292,0,0,0
2292,0,1,0
2292,0,2,0
2293,0,0,3
2293,0,1,0
2293,0,2,0
2305,1,0,0
2305,1,1,0
2305,1,2,0
2307,0,0,0
2307,0,1,0
2307,0,2,2
2310,0,0,0
2310,0,1,0
2310,0,2,1
2312,0,0,1
2312,0,1,1
2312,0,2,1
2315,0,0,0
2315,0,1,0
2315,0,2,0
2321,1,0,2
2321,1,1,0
2321,1,2,0
2325,0,0,1
2325,0,1,0
2325,0,2,0
2327,0,0,0
2327,0,1,1
2327,0,2,0
2341,0,0,2
2341,0,1,0
2341,0,2,1
2352,0,0,0
2352,0,1,2
2352,0,2,0
2360,0,0,0
2360,0,1,1
2360,0,2,0
2362,1,0,6
2362,1,1,1
2362,1,2,0
2365,0,0,1
2365,0,1,0
2365,0,2,0
2377,1,0,3
2377,1,1,1
2377,1,2,0
2380,1,0,2
2380,1,1,2
2380,1,2,0
2381,0,0,0
2381,0,1,0
2381,0,2,0
2382,0,0,0
2382,0,1,0
2382,0,2,0
2388,0,0,0
2388,0,1,1
2388,0,2,0
2395,1,0,1
2395,1,1,0
2395,1,2,1
2397,0,0,0
2397,0,1,0
2397,0,2,0
2399,0,0,0
2399,0,1,0
2399,0,2,0
2406,0,0,0
2406,0,1,1
2406,0,2,0
2409,0,0,2
2409,0,1,4
2409,0,2,4
2410,0,0,0
2410,0,1,0
2410,0,2,0
2411,1,0,0
2411,1,1,0
2411,1,2,0
2417,0,0,0
2417,0,1,0
2417,0,2,2
2421,0,0,0
2421,0,1,0
2421,0,2,0
2432,0,0,0
2432,0,1,1
2432,0,2,0
2444,0,0,0
2444,0,1,0
2444,0,2,0
2456,0,0,1
2456,0,1,1
2456,0,2,1
2457,0,0,0
2457,0,1,0
2457,0,2,0
2474,0,0,3
2474,0,1,0
2474,0,2,0
2479,0,0,0
2479,0,1,2
2479,0,2,0
2482,0,0,0
2482,0,1,0
2482,0,2,2
2590,0,0,1
2590,0,1,0
2590,0,2,1
2597,1,0,0
2597,1,1,1
2597,1,2,1
2619,0,0,0
2619,0,1,0
2619,0,2,0
2621,0,0,0
2621,0,1,0
2621,0,2,0
2631,0,0,4
2631,0,1,4
2631,0,2,3
2653,1,0,1
2653,1,1,4
2653,1,2,3
2692,0,0,1
2692,0,1,0
2692,0,2,0
2696,0,0,0
2696,0,1,3
2696,0,2,0
2744,0,0,0
2744,0,1,4
2744,0,2,1
2783,0,0,0
2783,0,1,1
2783,0,2,1
2787,0,0,0
2787,0,1,0
2787,0,2,0
2796,1,0,0
2796,1,1,0
2796,1,2,0
2807,0,0,0
2807,0,1,0
2807,0,2,1
2814,0,0,0
2814,0,1,0
2814,0,2,0
2827,0,0,0
2827,0,1,0
2827,0,2,0
2837,1,0,6
2837,1,1,7
2837,1,2,2
2856,0,0,0
2856,0,1,0
2856,0,2,0
2951,0,0,1
2951,0,1,0
2951,0,2,2
2954,1,0,0
2954,1,1,0
2954,1,2,1
2956,0,0,1
2956,0,1,0
2956,0,2,0
2979,1,0,0
2979,1,1,0
2979,1,2,0
2991,1,0,0
2991,1,1,0
2991,1,2,0
3002,0,0,0
3002,0,1,0
3002,0,2,0
3007,0,0,1
3007,0,1,2
3007,0,2,0
3018,0,0,0
3018,0,1,0
3018,0,2,0
3058,0,0,0
3058,0,1,0
3058,0,2,0
3077,0,0,0
3077,0,1,0
3077,0,2,0
3085,0,0,1
3085,0,1,0
3085,0,2,0
3092,0,0,0
3092,0,1,0
3092,0,2,0
3097,0,0,0
3097,0,1,0
3097,0,2,0
3103,0,0,2
3103,0,1,0
3103,0,2,0
3111,0,0,0
3111,0,1,0
3111,0,2,0
3124,0,0,0
3124,0,1,2
3124,0,2,0
3147,0,0,0
3147,0,1,0
3147,0,2,0
3160,0,0,0
3160,0,1,1
3160,0,2,1
3165,0,0,2
3165,0,1,2
3165,0,2,0
3169,0,0,1
3169,0,1,3
3169,0,2,1
3178,0,0,0
3178,0,1,0
3178,0,2,0
3202,0,0,1
3202,0,1,0
3202,0,2,0
3204,0,0,1
3204,0,1,0
3204,0,2,3
3205,1,0,0
3205,1,1,1
3205,1,2,10
3256,1,0,0
3256,1,1,2
3256,1,2,0
3257,1,0,0
3257,1,1,0
3257,1,2,0
3264,0,0,0
3264,0,1,0
3264,0,2,1
3274,0,0,0
3274,0,1,0
3274,0,2,2
3284,0,0,0
3284,0,1,0
3284,0,2,0
3308,1,0,0
3308,1,1,0
3308,1,2,0
3327,1,0,0
3327,1,1,0
3327,1,2,2
3361,0,0,0
3361,0,1,1
3361,0,2,0
3363,1,0,2
3363,1,1,0
3363,1,2,0
3387,1,0,17
3387,1,1,9
3387,1,2,7
3388,0,0,0
3388,0,1,0
3388,0,2,0
3395,0,0,2
3395,0,1,3
3395,0,2,1
3425,0,0,0
3425,0,1,1
3425,0,2,0
3456,0,0,0
3456,0,1,0
3456,0,2,0
3463,0,0,0
3463,0,1,0
3463,0,2,0
3465,0,0,0
3465,0,1,0
3465,0,2,0
3466,0,0,0
3466,0,1,0
3466,0,2,0
3477,0,0,0
3477,0,1,0
3477,0,2,0
3532,0,0,0
3532,0,1,0
3532,0,2,2
3563,0,0,1
3563,0,1,6
3563,0,2,0
3572,0,0,0
3572,0,1,0
3572,0,2,0
3580,0,0,0
3580,0,1,1
3580,0,2,1
3593,0,0,0
3593,0,1,0
3593,0,2,0
3601,0,0,0
3601,0,1,1
3601,0,2,1
3627,0,0,0
3627,0,1,1
3627,0,2,1
3664,0,0,0
3664,0,1,0
3664,0,2,0
3679,0,0,0
3679,0,1,0
3679,0,2,1
3687,1,0,6
3687,1,1,2
3687,1,2,0
3731,1,0,0
3731,1,1,0
3731,1,2,1
3771,1,0,0
3771,1,1,0
3771,1,2,0
3772,0,0,1
3772,0,1,0
3772,0,2,0
3778,1,0,2
3778,1,1,2
3778,1,2,1
3794,0,0,0
3794,0,1,0
3794,0,2,1
3797,0,0,0
3797,0,1,1
3797,0,2,0
3810,0,0,0
3810,0,1,0
3810,0,2,0
3828,0,0,0
3828,0,1,0
3828,0,2,0
3853,0,0,0
3853,0,1,0
3853,0,2,0
3884,1,0,1
3884,1,1,1
3884,1,2,2
3959,0,0,1
3959,0,1,0
3959,0,2,10
3964,0,0,1
3964,0,1,0
3964,0,2,0
3969,0,0,0
3969,0,1,0
3969,0,2,2
4006,0,0,1
4006,0,1,0
4006,0,2,4
4037,0,0,0
4037,0,1,0
4037,0,2,0
4046,0,0,1
4046,0,1,0
4046,0,2,0
4047,0,0,0
4047,0,1,1
4047,0,2,1
4049,0,0,0
4049,0,1,0
4049,0,2,0
4071,0,0,1
4071,0,1,0
4071,0,2,0
4093,0,0,0
4093,0,1,0
4093,0,2,0
4127,0,0,4
4127,0,1,6
4127,0,2,0
4147,0,0,4
4147,0,1,3
4147,0,2,1
4185,0,0,0
4185,0,1,0
4185,0,2,0
4208,0,0,0
4208,0,1,2
4208,0,2,0
4223,0,0,0
4223,0,1,0
4223,0,2,1
4241,0,0,1
4241,0,1,2
4241,0,2,2
4264,0,0,4
4264,0,1,4
4264,0,2,13
4329,0,0,3
4329,0,1,5
4329,0,2,5
4334,1,0,3
4334,1,1,16
4334,1,2,1
4341,1,0,8
4341,1,1,8
4341,1,2,3
4345,0,0,0
4345,0,1,0
4345,0,2,0
4359,0,0,0
4359,0,1,0
4359,0,2,0
4371,0,0,0
4371,0,1,0
4371,0,2,0
4397,1,0,0
4397,1,1,0
4397,1,2,0
4418,0,0,0
4418,0,1,0
4418,0,2,0
4446,0,0,0
4446,0,1,2
4446,0,2,0
4518,0,0,0
4518,0,1,1
4518,0,2,0
4541,0,0,0
4541,0,1,0
4541,0,2,0
4550,0,0,0
4550,0,1,1
4550,0,2,0
4560,0,0,0
4560,0,1,1
4560,0,2,0
4565,0,0,3
4565,0,1,2
4565,0,2,1
4662,0,0,0
4662,0,1,0
4662,0,2,0
4672,0,0,0
4672,0,1,1
4672,0,2,0
4679,0,0,2
4679,0,1,2
4679,0,2,0
4744,0,0,0
4744,0,1,2
4744,0,2,0
4745,0,0,0
4745,0,1,0
4745,0,2,0
4792,1,0,0
4792,1,1,0
4792,1,2,0
4798,0,0,2
4798,0,1,1
4798,0,2,0
4807,0,0,0
4807,0,1,0
4807,0,2,0
4810,0,0,1
4810,0,1,0
4810,0,2,0
4814,1,0,0
4814,1,1,5
4814,1,2,2
4887,0,0,0
4887,0,1,0
4887,0,2,0
4916,0,0,3
4916,0,1,5
4916,0,2,3
4930,0,0,0
4930,0,1,0
4930,0,2,0
4931,0,0,0
4931,0,1,0
4931,0,2,0
5044,1,0,5
5044,1,1,3
5044,1,2,0
5054,0,0,0
5054,0,1,1
5054,0,2,0
5075,0,0,2
5075,0,1,0
5075,0,2,0
5094,1,0,0
5094,1,1,0
5094,1,2,1
5102,0,0,1
5102,0,1,0
5102,0,2,0
5118,1,0,0
5118,1,1,1
5118,1,2,0
5351,1,0,0
5351,1,1,0
5351,1,2,0
5512,1,0,0
5512,1,1,0
5512,1,2,0
5513,0,0,0
5513,0,1,0
5513,0,2,0
5515,1,0,1
5515,1,1,0
5515,1,2,0
5522,0,0,0
5522,0,1,0
5522,0,2,0
5526,0,0,0
5526,0,1,1
5526,0,2,0
5570,1,0,0
5570,1,1,2
5570,1,2,1
5758,0,0,0
5758,0,1,0
5758,0,2,2
5783,0,0,4
5783,0,1,0
5783,0,2,0
5906,0,0,0
5906,0,1,0
5906,0,2,0
5937,0,0,17
5937,0,1,0
5937,0,2,0
5947,0,0,0
5947,0,1,0
5947,0,2,0
5948,0,0,0
5948,0,1,0
5948,0,2,0
5953,0,0,0
5953,0,1,0
5953,0,2,0
5954,0,0,0
5954,0,1,0
5954,0,2,0
5958,0,0,8
5958,0,1,9
5958,0,2,1
5975,0,0,0
5975,0,1,0
5975,0,2,0
5989,0,0,13
5989,0,1,0
5989,0,2,0
6038,1,0,0
6038,1,1,0
6038,1,2,0
6039,0,0,0
6039,0,1,0
6039,0,2,0
6122,1,0,0
6122,1,1,0
6122,1,2,0
6196,0,0,0
6196,0,1,0
6196,0,2,0
6198,1,0,2
6198,1,1,1
6198,1,2,2
6199,0,0,0
6199,0,1,1
6199,0,2,2
6201,1,0,2
6201,1,1,0
6201,1,2,0
6465,0,0,3
6465,0,1,13
6465,0,2,3
6483,1,0,0
6483,1,1,0
6483,1,2,0
6519,0,0,3
6519,0,1,0
6519,0,2,2
6531,1,0,2
6531,1,1,0
6531,1,2,2
6535,1,0,0
6535,1,1,2
6535,1,2,0
6545,0,0,0
6545,0,1,0
6545,0,2,1
6617,0,0,0
6617,0,1,0
6617,0,2,0
